school,department_name,harvard_equivalent,nih_2020
Pennsylvania-Perelman,BIOSTATISTICS EPIDEMIOLOGY AND INFORMATICS,DBMI,34209324
Indiana,BIOSTATISTICS AND HEALTH DATA SCIENCE,DBMI,1668912
Nebraska,BIOSTATISTICS,DBMI,NA
Hawaii-Burns,QUANTITATIVE HEALTH SCIENCES,DBMI,NA
Duke,BIOSTATISTICS AND BIOINFORMATICS,DBMI,19632840
Wake Forest,BIOSTATISTICAL SCIENCES,DBMI,6825081
Michigan,COMPUTATIONAL MEDICINE AND BIOINFORMATICS,DBMI,7836645
Mayo-Alix,BIOMEDICAL STATISTICS AND INFORMATICS,DBMI,NA
Einstein,EPIDEMIOLOGY AND POPULATION HEALTH,GHSM,NA
Ohio State,CANCER BIOLOGY AND GENETICS,Gn,5117151
Harvard,GLOBAL HEALTH AND SOCIAL MEDICINE,GHSM,4882270
Southern Cal-Keck,POPULATION AND PUBLIC HEALTH SCIENCES,GHSM,NA
Georgetown,HUMAN SCIENCE,GHSM,NA
Columbia-Vagelos,MEDICAL HUMANITIES AND ETHICS,GHSM,NA
U Washington,BIOETHICS AND HUMANITIES,GHSM,912281
U Washington,GLOBAL HEALTH,GHSM,20572794
NYU-Grossman,POPULATION HEALTH,GHSM,NA
UC San Fransisco,HUMANITIES AND SOCIAL SCIENCES,GHSM,1370291
Duke,POPULATION HEALTH SCIENCES,GHSM,5898573
Temple-Katz,CENTER FOR URBAN BIOETHICS,GHSM,NA
Temple-Katz,CENTER FOR ASIAN HEALTH,GHSM,1657271
Temple-Katz,HOPE CENTER FOR COLLEGE COMMUNITY AND JUSTICE,GHSM,NA
Chicago-Pritzker,PUBLIC HEALTH SCIENCES,GHSM,17989767
New York Medical,PUBLIC HEALTH,GHSM,NA
Chicago Med Franklin,HUMANITIES AND HEALTH CARE,GHSM,NA
Loyola Stritch,PUBLIC HEALTH SCIENCES,GHSM,1303234
Penn State,HUMANITIES,GHSM,1252896
Rochester,MEDICAL HUMANITIES AND BIOETHICS,GHSM,NA
